"source","target","sectionlength"
"ES04302","ES04303","16.5"
"ES71801","ESB4302","7.1"
"ES79001","ES79003","3.5"
"ES04305","ES04304","20.4"
"ES04303","ES04305","3.9"
"ES79003","ES04302","16.6"
"ESB4300","ES79001","1.0"
"ES04304","ESB4303","8.3"
"ES04307","ES04313","3.5"
"ESB4303","ES79300","4.0"
"ES79300","ES04307","34.2"
"ESB4015","ES70715","3.621"
"ESB4041","ESB4045","3.3"
"ESB4042","ESB4043","4.973"
"ESB4030","ES04031","10.0"
"ESB4044","ESB4041","3.2"
"ESB4045","ESB4042","0.827"
"ES04031","ES04040","1.445"
"ES04040","ESB4044","5.926"
"ES04040","ESB4043","6.741"
"ES78400","ESB7840","2.0"
"ESB4101","ESB4100","5.3"
"ESB4054","ES78400","7.5"
"ESB7840","ESB4101","1.7"
"ES04031","ES70899","1.1"
"ESA0660","ESB4104","0.2"
"ESB6001","ESB3710","5.6"
"ESB7800","ESB7801","2.326"
"ES74200","ESB7801","3.43"
"ES78200","ESB7800","15.683"
"ES78100","ES78102","17.739"
"ES78005","ES78100","13.285"
"ES78102","ES78200","9.451"
"ESA0801","ESA0720","0.1"
"ES08011","ESA0801","0.1"
"ESA0741","ESA0742","1.098"
"ESA0740","ESA0741","3.312"
"ESA0742","ES08200","15.47"
"ESB0802","ES08012","0.865"
"ES08005","ES08006","20.6"
"ES08006","ESA0740","25.782"
"ESA0801","ES08000","17.3"
"ES08007","ESB0740","0.8"
"ES08008","ES08009","13.2"
"ES17000","ESA0801","0.84"
"ES08009","ESB0802","1.7"
"ES08001","ES08004","32.871"
"ESB0802","ESB0800","9.1"
"ESA0740","ES08007","0.218"
"ES08000","ES08001","16.6"
"ES08004","ES08005","18.229"
"ESB0740","ES08008","11.1"
"ESA8014","ES10600","6.25"
"ESB0800","ESA8014","4.2"
"ES08018","ES11014","21.663"
"ESB0816","ES08016","34.25"
"ES10600","ESB0810","7.312"
"ES08014","ESB0814","9.578"
"ES08016","ES08018","24.813"
"ESB0810","ESB0813","0.679"
"ES08222","ESB0861","56.155"
"ESB0860","ES08222","26.988"
"ESB0814","ESB0817","5.515"
"ESB0817","ES14100","7.097"
"ES08203","ESB0819","21.054"
"ESB0818","ES08203","16.538"
"ES15100","ES15122","71.804"
"ESB0823","ES15100","7.188"
"ESA0823","ESB0824","5.419"
"ESB0824","ES15100","1.1"
"ESB0823","ESA0823","0.666"
"ES97100","ES97103","12.0"
"ES97201","ES97200","2.166"
"ES97103","ESB9701","1.0"
"ESB9701","ES10100","1.921"
"ESA0800","ES97201","2.034"
"ES17000","ESA0800","0.5"
"ES97200","ES97100","1.5"
"ES10301","ES10302","11.491"
"ES11009","ES11010","10.954"
"ES11009","ES11007","11.712"
"ES10411","ES10500","18.815"
"ES10400","ES10403","12.939"
"ES10605","ES11000","6.446"
"ES10206","ES10209","1.471"
"ES10300","ES10301","5.005"
"ESB1052","ES10504","7.71"
"ESB1052","ES10600","6.026"
"ES10203","ES10204","6.332"
"ES10204","ES10205","8.398"
"ES10205","ES10206","6.713"
"ES10207","ES10208","4.78"
"ES10208","ES10300","9.306"
"ES10209","ES10207","10.757"
"ES11010","ES11011","9.479"
"ES10500","ES10501","8.722"
"ES10302","ES10400","6.224"
"ES10502","ES10503","7.899"
"ES11005","ES11006","10.952"
"ES11004","ES11005","12.2"
"ES10602","ES10603","3.992"
"ES10603","ES10604","6.082"
"ES11006","ES11007","10.818"
"ES10100","ES10101","3.539"
"ES10604","ES10605","7.626"
"ES10611","ESB0810","2.666"
"ES10611","ES10602","2.737"
"ES10610","ES10601","1.9"
"ES10610","ES10600","3.077"
"ES11003","ES11004","2.474"
"ES10501","ES10502","7.393"
"ES10202","ES10203","8.607"
"ES10601","ESB0810","2.223"
"ES10103","ES10104","3.682"
"ES10104","ES10200","3.841"
"ES10503","ES10504","4.461"
"ES10201","ES10202","1.479"
"ES10200","ES10201","2.325"
"ES11512","ES11513","1.171"
"ES11507","ES11508","1.146"
"ES11506","ES11507","2.379"
"ES11503","ES11504","4.483"
"ES11504","ES11505","0.874"
"ESB1110","ES11200","2.2"
"ES11510","ES11511","2.121"
"ES11511","ES11512","0.549"
"ES11505","ES11506","3.685"
"ES11518","ES11600","1.792"
"ES11522","ES11514","1.291"
"ESB0825","ESA1112","2.921"
"ES11508","ES11509","3.254"
"ES11509","ES11510","0.956"
"ES11515","ES11521","0.068"
"ES11600","EU00119","1.707"
"ES11105","ES11106","4.113"
"ES11105","ES11103","11.819"
"ES11109","ES11110","11.284"
"ES11516","ES11518","8.106"
"ES11513","ES11522","0.626"
"ES11521","ES11516","1.576"
"ES11514","ES11515","1.731"
"ES11409","ES11500","4.203"
"ES11502","ES11503","3.466"
"ES11402","ES11403","2.992"
"ES11110","ES11111","11.406"
"ES11400","ES11411","5.638"
"ES11111","ES11112","9.523"
"ES11306","ES11400","4.36"
"ES11305","ES11306","4.067"
"ES11305","ES11303","12.113"
"ES11112","ESB1110","7.702"
"ES11403","ES11404","4.129"
"ESA1112","ESB1112","2.895"
"ES11300","ES11303","9.476"
"ES11204","ES11205","6.498"
"ES11221","ES11205","6.785"
"ES11221","ES11208","6.292"
"ES11210","ES11208","13.243"
"ES11203","ES11200","9.094"
"ES11203","ES11204","4.623"
"ES11404","ES11405","2.163"
"ES11212","ES11213","7.355"
"ES11212","ES11210","10.795"
"ES11405","ES11406","2.523"
"ES11408","ES11409","2.712"
"ES11500","ES11501","0.597"
"ES11407","ES11408","1.378"
"ES11406","ES11407","2.807"
"ESB1112","ES11103","5.881"
"ESB1120","ES11300","1.0"
"ESB1120","ES11213","10.785"
"ES11501","ES11502","2.688"
"ES11411","ES11402","2.884"
"ES11200","ES11220","0.05"
"ES11600","ES11601","0.026"
"ES10103","ES10101","6.17"
"ES10411","ES10409","16.531"
"ES10409","ES10405","19.98"
"ES10405","ES10403","17.484"
"ES17000","ES97201","2.534"
"ES11000","ES11002","3.82"
"ES11002","ES11003","2.234"
"ES11109","ES11106","14.872"
"ESA0825","ESB0825","0.185"
"ES11014","ESA0825","0.715"
"ESB1111","ES11014","10.685"
"ES11011","ESB1111","2.885"
"ES17003","ES17004","4.975"
"ES17001","ESB1702","2.117"
"ES17004","ES17005","10.846"
"ES17000","ES17001","3.165"
"ES17009","ESB1702","3.189"
"ES17009","ES17003","1.929"
"ES17100","ES17102","7.299"
"ES17116","ES17107","4.24"
"ES17007","ES17008","6.225"
"ES17117","ES17116","3.47"
"ES17200","ES17201","13.418"
"ES17204","ES17205","12.883"
"ES17208","ESB1111","14.7"
"ES17006","ES17007","6.921"
"ES17205","ES17206","16.822"
"ES17206","ES17208","16.07"
"ES17201","ES17204","22.107"
"ES17114","ES17103","5.618"
"ES17115","ES17113","2.648"
"ES17112","ES17115","13.11"
"ES17102","ES17114","4.308"
"ES17008","ES17100","8.484"
"ES17103","ES17105","10.862"
"ES17105","ES17106","3.62"
"ES17106","ES17117","3.13"
"ES17113","ES17200","10.852"
"ES17107","ES17108","8.859"
"ES17109","ES17110","14.229"
"ES17110","ES17111","14.193"
"ES17005","ES17006","10.493"
"ES17108","ES17109","11.578"
"ES17111","ES17112","8.591"
"ES19004","ES19001","0.935"
"ES19001","ES19002","2.585"
"ES19002","ES19003","1.905"
"ES17009","ES19004","1.345"
"ES85215","ESB1051","0.485"
"ES10600","ESB1051","0.1"
"ES85214","ES85215","4.196"
"ES12001","ES12002","2.613"
"ES12002","ES12004","6.097"
"ES12004","ES12005","3.649"
"ES12005","ES12006","5.462"
"ES10200","ES12001","1.91"
"ES12009","ES12010","3.294"
"ES12007","ES12008","3.271"
"ES12006","ES12007","6.825"
"ES12008","ES12009","2.379"
"ES12010","ES12011","5.3"
"ES12014","ES12100","9.826"
"ES12013","ES12014","3.618"
"ES12012","ES12013","5.275"
"ES12011","ES12012","3.153"
"ESB1051","ES10600","0.545"
"ES10608","ESB1051","3.263"
"ES10601","ES10620","4.847"
"ES10620","ESB0811","0.161"
"ES12020","ES12006","11.1"
"ES12023","ES12020","7.054"
"ES11600","EU00119","1.707"
"ES32005","ES32006","9.874"
"ES10500","ESB3200","6.846"
"ES32009","ES30100","6.366"
"ES32008","ES32009","5.09"
"ES32007","ES32008","6.31"
"ES32006","ES32007","6.026"
"ES32003","ES32004","7.33"
"ES32002","ES32003","3.59"
"ES32004","ES32005","10.47"
"ESB3200","ES32001","4.983"
"ES32001","ES32002","9.481"
"ES30110","ES30023","1.1"
"ESB3001","ES33001","2.369"
"ES30023","ESB3001","2.0"
"ES33016","EU00124","0.93"
"ES33015","ES33016","9.299"
"ES33014","ES33015","10.581"
"ES33013","ES33014","11.423"
"ES30100","ES30110","0.9"
"ES33012","ES33013","11.126"
"ES33009","ES33010","5.143"
"ES33008","ES33009","4.076"
"ES33007","ES33008","4.906"
"ES33006","ES33007","13.751"
"ES33004","ES33006","4.949"
"ES33003","ES33004","11.151"
"ES33001","ES33003","16.96"
"ES33011","ES33012","6.824"
"ES33010","ES33011","6.747"
"ES10400","ES34002","15.707"
"ES34008","ES34010","14.512"
"ES34003","ES34004","7.393"
"ES34007","ES34008","8.014"
"ES34005","ES34007","11.553"
"ES34002","ES34003","7.913"
"ES34004","ES34005","5.09"
"ES34013","ES34014","5.141"
"ES34012","ES34013","5.489"
"ES34011","ES34012","11.678"
"ES34010","ES34011","10.299"
"ES34014","ES30100","7.211"
"ES08020","ESA0825","0.188"
"ES15108","ES15106","8.088"
"ES15108","ES15109","4.818"
"ES15106","ES15103","14.241"
"ESB1511","ES15103","9.826"
"ES15117","ES15118","8.026"
"ES15116","ES15117","5.715"
"ES15115","ES15116","9.899"
"ES15109","ES15110","1.695"
"ES15113","ES15114","9.507"
"ES15114","ES15115","9.704"
"ES15112","ES15110","5.844"
"ES15112","ES15113","7.671"
"ES15100","ESB1511","2.576"
"ES15200","ES15202","1.745"
"ES15123","ES15200","3.835"
"ES15122","ES15123","3.246"
"ES15401","ES15410","1.914"
"ES15301","ES15305","3.483"
"ES15302","ES15303","3.49"
"ES15303","ES15400","3.162"
"ES15300","ES15301","2.701"
"ES15218","ES15211","1.038"
"ES15217","ES15212","2.217"
"ES15214","ES15300","0.916"
"ES15212","ES15214","3.483"
"ES15211","ES15217","3.462"
"ES15210","ES15218","3.778"
"ES15208","ES15209","1.643"
"ES15206","ESB1521","3.97"
"ES15205","ES15206","1.337"
"ES15204","ES15205","2.366"
"ES15203","ES15204","0.467"
"ES15202","ES15203","3.415"
"ES15305","ES15302","4.237"
"ES15400","ES15401","2.57"
"ES15209","ES15210","2.062"
"ES15121","ES15122","3.446"
"ES15118","ES15119","3.976"
"ES15119","ES15120","2.233"
"ESB1521","ES15208","2.108"
"ES15120","ES15121","2.462"
"ES11000","ES15000","8.586"
"ES15000","ES14100","3.175"
"ESB0826","ES15102","0.07"
"ESB1507","ESB1509","1.6"
"ES15003","ES15001","7.993"
"ES15003","ES15004","6.676"
"ES15006","ES15004","13.778"
"ES15006","ES15007","11.774"
"ES15007","ES15021","4.873"
"ESB1513","ESB1507","1.45"
"ES15008","ES15009","5.377"
"ES15014","ES15012","16.329"
"ES15014","ES15015","9.239"
"ES15018","ESB1509","0.685"
"ES15018","ESB0826","0.929"
"ESB0826","ES15100","1.763"
"ES15021","ES15008","4.617"
"ESB1505","ES15001","1.806"
"ES15017","ESB1513","2.376"
"ES14100","ESB1505","4.1"
"ES15009","ES15012","18.558"
"ES15017","ES15015","8.454"
"ES15206","ES15207","2.47"
"ES15205","ES15206","1.337"
"ESB1521","ES15207","1.5"
"ES11014","ES08020","0.6"
"ESB1511","ESB2001","1.43"
"ESB1521","ESB1601","0.824"
"ESB1601","ES16001","2.475"
"ES16001","ES16002","3.376"
"ES16002","ESB1602","1.249"
"ESB1602","ES16005","4.147"
"ES16006","ES16008","2.119"
"ES16008","ES16009","1.847"
"ES16009","ES16010","0.934"
"ES16005","ES16006","0.853"
"ES16010","ES16011","2.496"
"ES15208","ESB1601","2.3"
"ES16408","ES16401","1.619"
"ES15301","ES16301","4.312"
"ES16404","ES16406","0.947"
"ES16406","ES16405","0.344"
"ES16407","ES16404","0.041"
"ES16403","ES16407","1.726"
"ES16402","ES16403","2.373"
"ES16401","ES16402","0.941"
"ES16301","ES16302","4.534"
"ES16400","ES16408","1.978"
"ES16302","ES16400","1.876"
"ESB1602","ESB1611","0.5"
"ES16400","ES16501","5.291"
"ES15304","ES15400","2.2"
"ES15302","ES15304","4.6"
"ES15400","ES16601","2.2"
"ES16604","ES15400","4.6"
"ES16002","ESB1611","1.2"
"ESB1611","ES16101","6.134"
"ES16101","ES15300","5.966"
"ESB1401","ES08201","0.414"
"ESB0817","ES08201","1.901"
"ES14100","ES14101","12.226"
"ES14115","ES14200","7.7"
"ES14113","ES14114","9.104"
"ES14112","ES14113","9.672"
"ES14111","ES14112","6.457"
"ES14111","ES14109","12.897"
"ES14201","ES14227","4.827"
"ES14114","ES14115","4.57"
"ES14101","ES14117","1.341"
"ES14117","ES14102","7.478"
"ES14107","ES14108","7.475"
"ES14108","ES14109","1.942"
"ES14227","ES14202","5.8"
"ES14105","ES14106","5.614"
"ES14200","ES14201","8.673"
"ES14104","ES14105","5.305"
"ES14106","ES14107","6.508"
"ES14102","ES14103","5.134"
"ES14103","ES14104","6.644"
"ES14202","ES14233","0.8"
"ES14204","ES14205","8.397"
"ES14205","ES14234","3.449"
"ES14203","ES14204","2.654"
"ES14206","ES14207","2.589"
"ES14208","ES14235","1.91"
"ES14207","ES14208","2.59"
"ES14209","ES14210","7.8"
"ES14210","ES14232","1.1"
"ES14211","ES14212","3.25"
"ES14212","ES14213","1.203"
"ES14213","ES14214","2.247"
"ES14214","ES14215","3.2"
"ES14215","ES14236","2.9"
"ES14216","ES14217","6.351"
"ES14219","ES14220","0.8"
"ES14237","ES14221","0.6"
"ES14220","ES14237","0.4"
"ES14236","ES14216","1.275"
"ES14235","ES14209","1.0"
"ES14234","ES14228","2.2"
"ES14233","ES14203","10.1"
"ES14231","ES14230","1.9"
"ES14232","ES14211","3.8"
"ES14218","ES14219","2.934"
"ES14228","ES14206","5.811"
"ES14221","ES14231","2.2"
"ES14230","ES14223","1.38"
"ES14217","ES14218","3.24"
"ES14214","ES14226","5.6"
"ES14213","ES14214","0.001"
"ESB1401","ES11004","5.791"
"ES15000","ESB1401","1.831"
"ESB1112","ES11102","4.032"
"ESA1112","ES11102","3.832"
"ESA0800","ES08011","0.2"
"ES08200","ES10500","1.025"
"ES08012","ES10503","0.847"
"ESB0826","ES08206","0.255"
"ES08205","ESB1507","0.376"
"ESA0823","ES08205","0.487"
"ESB3200","ES08241","3.023"
"ES08240","ES08241","0.905"
"ESB7181","ESB7183","1.538"
"ESB7183","ES79400","2.376"
"ES98100","ESB9811","2.294"
"ESB9811","ES70101","2.105"
"ES98001","ES98100","7.25"
"ES17000","ES98003","2.057"
"ES98003","ES98001","1.147"
"ES70208","ES70209","7.903"
"ES70209","ES70210","11.238"
"ES70210","ES70300","7.647"
"ES70400","ES70302","15.856"
"ES70400","ES70401","10.382"
"ES70401","ES70403","16.087"
"ES70403","ES70404","10.016"
"ES70300","ES70302","16.635"
"ES70207","ES70208","5.097"
"ES70105","ES70113","1.218"
"ES70203","ES70204","5.318"
"ES70101","ES70102","4.698"
"ES70103","ES70107","3.216"
"ES70104","ES70105","3.954"
"ES70404","ES70405","8.335"
"ES70107","ES70104","4.528"
"ES70111","ES70103","2.424"
"ES70113","ES70200","10.488"
"ES70202","ES70203","5.041"
"ES70204","ES70207","12.389"
"ES70405","ES70500","4.643"
"ES70504","ES70505","6.694"
"ES70501","ES70502","4.568"
"ES70800","ES70706","13.0"
"ES70800","ES70801","2.447"
"ES70801","ES70802","1.545"
"ES70802","ES70803","3.928"
"ES70803","ESA7080","1.537"
"ES70705","ESA7070","2.347"
"ES70112","ES70111","4.53"
"ES04040","ES70806","1.512"
"ESA7070","ES70706","6.043"
"ESA7080","ES04040","2.288"
"ES70807","ES70806","0.9"
"ES70807","ES71100","2.506"
"ES70704","ES70705","6.833"
"ES70703","ES70704","3.748"
"ES70702","ES70703","5.132"
"ES70502","ES70503","5.463"
"ES70503","ES70504","7.679"
"ES70505","ES70600","6.535"
"ES70601","ES70602","2.817"
"ES70602","ES70603","2.785"
"ES70603","ES70604","1.742"
"ES70604","ES70605","4.031"
"ES70605","ES70606","2.756"
"ES70606","ES70608","0.564"
"ES70607","ES70700","8.196"
"ES70608","ES70607","5.352"
"ES70700","ES70701","4.755"
"ES70701","ES70702","5.337"
"ES70500","ES70501","8.645"
"ES70600","ES70601","7.578"
"ES70200","ES70202","11.628"
"ES78004","ES78005","5.192"
"ES78200","ES78201","16.12"
"ES78201","ES78202","9.65"
"ES78202","ES78203","12.156"
"ES78203","ES78204","13.004"
"ES78204","ES78300","18.894"
"ES78300","ES78301","4.707"
"ES78301","ES78302","10.85"
"ES78302","ES78303","10.806"
"ES78303","ES78304","10.191"
"ES78304","ES78305","5.865"
"ES78305","ES99501","7.521"
"ES78005","ES78100","13.285"
"ES99501","ES78400","10.878"
"ES78100","ES78102","17.739"
"ES78102","ES78200","9.451"
"ES73022","ES73006","1.075"
"ES73001","ES73002","7.846"
"ES73001","ES78400","11.619"
"ES73002","ES73003","5.069"
"ES73003","ES73004","4.601"
"ES73004","ES73021","3.765"
"ES73005","ES73022","6.671"
"ES73021","ES73005","7.529"
"ES73006","ES73007","4.871"
"ES73008","ES73009","4.656"
"ES73009","ES73010","2.36"
"ES73010","ES73100","2.06"
"ES73007","ES73008","6.44"
"ES76001","ES72100","8.788"
"ES76002","ES76001","5.897"
"ES76004","ES76003","5.165"
"ES76003","ES76002","2.085"
"ES73100","ES76004","6.716"
"ES71701","ES71703","8.451"
"ES71708","ESB7173","0.988"
"ES71703","ES71704","4.847"
"ES72101","ES71600","5.927"
"ES72100","ES72101","1.376"
"ES71600","ES71601","4.0"
"ES71707","ESB7171","1.742"
"ESB7173","ES71801","2.948"
"ES71709","ES71707","5.946"
"ES71700","ES71701","7.3"
"ES71604","ES71700","5.06"
"ES71705","ES71706","3.764"
"ES71601","ES71602","2.904"
"ES71603","ES71604","3.859"
"ES71602","ES71603","2.15"
"ESB7171","ES71708","1.943"
"ES71706","ES71709","1.47"
"ES71704","ES71705","2.349"
"ES71801","ES71802","2.651"
"ES71802","ESB7181","1.047"
"ES70102","ES70112","3.516"
"ES71801","ESB7181","3.698"
"ES71100","ESA7890","0.914"
"ES78902","ES78007","2.42"
"ES78007","ES78004","3.037"
"ESA7890","ES78902","5.166"
"ES84101","ES84103","18.563"
"ES84104","ES82100","18.068"
"ES84003","ES84100","10.687"
"ES84103","ES84104","5.869"
"ES84100","ES84101","7.247"
"ES70400","ES84003","32.15"
"ES74202","ES74204","19.32"
"ES74210","ES74211","10.785"
"ES74204","ES74205","6.734"
"ES74209","ES74210","10.97"
"ES74208","ES74209","13.156"
"ES74212","ES74213","6.322"
"ES74207","ES74208","5.783"
"ES74211","ES74212","9.604"
"ES74206","ES74207","8.594"
"ES74201","ES74202","9.065"
"ES74205","ES74206","3.306"
"ES74216","ES74214","11.693"
"ES74216","ES74217","7.253"
"ES74213","ES74214","5.4"
"ESA7400","ES74201","1.204"
"ESB7800","ESA7400","2.296"
"ES78400","ESA7510","0.99"
"ES78004","ES78006","4.031"
"ES71100","ESA7111","1.334"
"ES71206","ES71207","9.349"
"ES71101","ESA7110","1.51"
"ES71207","ES71208","10.309"
"ES71202","ES71203","12.343"
"ES71203","ES71204","10.345"
"ES71102","ES71121","5.587"
"ES71200","ES71201","9.491"
"ES71201","ES71202","8.212"
"ES71108","ES71109","8.975"
"ES71108","ES71105","12.47"
"ES71307","ES71400","7.601"
"ES71208","ES71209","13.982"
"ES71301","ES71302","3.399"
"ES71300","ES71301","9.3"
"ES71302","ES71303","7.334"
"ES71109","ES71200","6.852"
"ES71121","ES71103","6.085"
"ES71211","ES71300","12.827"
"ES71210","ES71211","6.861"
"ES71105","ES71103","15.379"
"ES71303","ES71304","4.76"
"ES71304","ES71305","5.427"
"ES71306","ES71307","5.136"
"ES71209","ES71210","7.414"
"ES71305","ES71306","5.22"
"ES71205","ES71206","6.142"
"ES71204","ES71205","11.388"
"ESA7110","ES71102","6.204"
"ESA7111","ES71101","3.95"
"ES71401","ESA7141","6.087"
"ES71400","ESB7510","5.826"
"ESB7510","ES71401","0.967"
"ESA7141","ES71500","3.113"
"ES71502","ES71503","2.717"
"ES71500","ES71502","10.57"
"ES71503","ES71600","11.208"
"ESB7801","ESA7400","2.296"
"ESB7082","ESA7086","1.42"
"ESA7081","ESB7082","6.74"
"ES70803","ESA7081","1.395"
"ESA7086","ESB7081","3.38"
"ESB7081","ES70804","4.893"
"ESA7083","ES71101","1.155"
"ES70804","ESA7083","6.388"
"ESA7087","ESA7086","1.958"
"ESA7087","ES70805","3.455"
"ESB7082","ESA7087","1.317"
"ES78405","ES78406","3.756"
"ES78407","ES78408","5.247"
"ES78406","ES78407","5.74"
"ES78501","ES78502","8.406"
"ES78506","ES78600","12.477"
"ES78505","ES78506","7.152"
"ES78504","ES78505","5.384"
"ES78503","ES78504","9.905"
"ES78502","ES78503","4.398"
"ES78404","ES78405","3.115"
"ES78403","ES78404","2.851"
"ES78402","ES78403","9.607"
"ES78402","ES78400","12.625"
"ES78500","ES78501","13.893"
"ES78408","ES78500","13.338"
"ES78604","ES78605","5.191"
"ES78705","ES78706","3.327"
"ES78707","ES78708","1.639"
"ES78708","ES78800","1.751"
"ES78709","ES78704","2.57"
"ES78710","ES78709","4.84"
"ES78800","ES78801","1.149"
"ES78801","ES78802","3.465"
"ES78802","ES78806","0.979"
"ES78806","ESB8801","2.916"
"ES78704","ES78703","2.46"
"ES78703","ES78705","2.073"
"ES78706","ES78707","2.16"
"ES78607","ES78609","5.53"
"ES78700","ES78710","2.147"
"ES78605","ES78606","4.781"
"ES78610","ES78700","3.84"
"ES78600","ES78604","7.909"
"ES78609","ES78610","2.07"
"ES78606","ES78607","2.7"
"ESA7701","ES77006","2.728"
"ES78800","ES77002","3.225"
"ES77106","ES77107","3.419"
"ES77100","ES77102","6.289"
"ES77105","ES77106","2.064"
"ES77002","ES77003","3.084"
"ES77103","ES77104","5.147"
"ES77104","ES77105","5.218"
"ES77003","ES77004","2.026"
"ES77006","ES77100","2.66"
"ES77102","ES77103","4.656"
"ES77005","ESA7701","5.773"
"ES77107","ES77109","10.875"
"ES77004","ES77005","2.872"
"ES77109","ES77110","8.361"
"ES77112","ES77113","5.599"
"ES77111","ES77112","2.683"
"ES77110","ES77111","7.712"
"ES77113","ES77114","3.545"
"ES77114","ES77200","8.63"
"ES77306","ES77307","6.5"
"ES77303","ES77304","6.76"
"ES77301","ES77303","9.044"
"ES77304","ES77305","9.221"
"ES77309","EU00122","2.107"
"ES77200","ES77301","4.406"
"ES77307","ES77309","7.0"
"ES77305","ES77306","5.669"
"ES78800","ESB7901","3.182"
"ES72503","ES78706","3.5"
"ES73101","ES73102","5.877"
"ES73110","ES73101","2.431"
"ES73100","ES73110","3.038"
"ES72006","ES72001","4.366"
"ES71400","ES72006","5.784"
"ES72001","ESA7203","0.326"
"ES72005","ES72100","2.206"
"ES71901","ES71902","3.159"
"ESA7229","ES71908","5.058"
"ESA7190","ESA7229","1.123"
"ES71908","ESB7193","10.521"
"ESB7193","ES71901","2.831"
"ESA7225","ESA7226","0.708"
"ES72203","ES72204","4.985"
"ESA7220","ESA7229","1.904"
"ESA7226","ES72209","2.006"
"ES72302","ES72303","1.513"
"ESA7229","ESA7221","0.5"
"ES72301","ES72302","1.898"
"ES72209","ES72210","3.646"
"ES72207","ES72208","7.0"
"ES72208","ESA7225","3.42"
"ESA7221","ES72211","0.998"
"ES72303","ES72305","2.7"
"ES72210","ESA7220","1.76"
"ES72206","ES72207","3.697"
"ES72202","ES72203","6.777"
"ES72201","ES72202","7.826"
"ES72204","ES72205","3.439"
"ES72205","ES72206","4.643"
"ES71600","ES72201","3.932"
"ES72300","ES72301","3.779"
"ES72211","ES72300","3.309"
"ES72212","ESA7227","2.0"
"ESA7227","ESA7226","0.5"
"ESA7227","ESA7225","0.5"
"ES72503","ES72506","5.896"
"ES72506","ES72507","1.829"
"ES72502","ES72505","0.514"
"ES72501","ES72502","3.595"
"ESA7190","ES72504","2.879"
"ES72505","ES72503","2.975"
"ES72504","ES72501","2.301"
"ESA7220","ESA7190","1.129"
"ES72503","ESB7193","1.626"
"ESB7193","ES72506","4.27"
"ES72507","ES79006","1.941"
"ES72210","ESA7190","1.293"
"ES72305","ESB7173","1.265"
"ES72400","ES71707","6.716"
"ES79308","ES04307","5.266"
"ES79009","ESB7181","1.841"
"ES79009","ESB7900","0.536"
"ESB7900","ES79004","2.43"
"ES79103","ES79104","3.786"
"ES79105","ES79106","2.63"
"ES79102","ES79103","5.751"
"ES79104","ES79105","5.355"
"ES79101","ES79102","4.277"
"ES79006","ES79007","3.585"
"ES79011","ES79006","2.969"
"ES79008","ES79108","3.9"
"ES79106","ES79107","5.862"
"ES79005","ES79011","3.115"
"ES79004","ESB7901","2.385"
"ES79107","ES79200","5.484"
"ES79203","ES79204","6.259"
"ES79109","ES79101","6.064"
"ES79315","EU00120","1.194"
"ES79314","ES79315","2.858"
"ES79312","ES79314","4.011"
"ES79311","ES79312","7.29"
"ES79308","ES79309","5.443"
"ES79306","ES79308","5.049"
"ES79305","ES79320","1.245"
"ES79304","ES79305","6.182"
"ES79303","ES79304","2.473"
"ES79302","ES79303","3.658"
"ES79301","ES79319","1.78"
"ES79300","ES79301","9.148"
"ES79206","ES79300","2.959"
"ES79205","ES79206","2.213"
"ES79204","ES79205","4.702"
"ES79202","ES79203","5.977"
"ES79200","ES79202","7.0"
"ES79108","ES79100","0.305"
"ES79309","ES79311","11.877"
"ESB7901","ES79005","3.331"
"ES79319","ES79302","1.742"
"ES79320","ES79306","4.778"
"ES79007","ES79008","2.5"
"ES79100","ES79109","1.948"
"ES79315","ES79317","0.04"
"ES79315","ES79318","0.394"
"ES78805","ES71801","2.959"
"ESB8801","ES78804","0.568"
"ES78804","ES78805","0.988"
"ESB7183","ESB8801","0.655"
"ES72305","ES71801","3.966"
"ES79002","ESB7943","1.514"
"ESB7900","ES79002","0.8"
"ES79408","ES79409","3.079"
"ES79406","ES79407","2.161"
"ES79409","ES79410","3.273"
"ES79405","ES79406","1.388"
"ESB7943","ES79403","2.905"
"ES79404","ES79405","2.709"
"ES79403","ES79404","2.832"
"ES79412","ES79500","7.145"
"ES79407","ES79408","0.795"
"ES79410","ES79412","1.237"
"ES79607","ES79200","9.298"
"ES79608","ES79605","1.813"
"ES79606","ES79607","5.749"
"ES79605","ES79606","4.99"
"ES79604","ES79608","2.134"
"ES79603","ES79604","2.442"
"ES79602","ES79603","3.748"
"ES79601","ES79602","3.966"
"ES79502","ES79600","2.193"
"ES79501","ES79502","2.724"
"ES79500","ES79501","2.659"
"ES79600","ES79601","2.879"
"ES79009","ESB7900","0.45"
"ES79009","ESB7183","1.115"
"ES72507","ES79011","2.287"
"ES72507","ESB4300","2.5"
"ESA7070","ES70715","5.0"
"ESA7080","ESA7081","0.56"
"ESA7083","ESA7110","1.165"
"ESA7111","ESA7890","1.014"
"ESA7080","ES70899","1.988"
"ES04200","ES72100","1.099"
"ESB4303","ES79206","1.513"
"ES18002","ES17000","3.454"
"ES18102","ES18002","1.763"
"ES18102","ES18101","1.365"
"ES18101","ES18000","1.872"
"ES60701","ESB6100","0.7"
"ES60701","ESA6060","18.3"
"ES60001","ES60100","1.981"
"ES60101","ES60109","2.14"
"ES60104","ES60105","6.463"
"ES60103","ES60104","6.356"
"ES60102","ES60103","6.967"
"ES60100","ES60107","1.342"
"ES60105","ES60106","7.298"
"ES60404","ES60406","16.203"
